Brno,0,1094,524,510,923,789,637,198,700,671,703,873,844,862,848,132,776,487
Dubrovník,1094,0,541,723,144,599,456,1292,613,602,601,221,269,226,605,962,381,607
Karlovac,524,541,0,136,389,208,82,722,222,126,210,324,270,292,210,402,249,52
Lublaň,510,723,136,0,482,155,188,708,190,121,171,495,361,404,136,378,342,138
Makarská,923,144,386,482,0,455,281,1081,468,368,456,62,124,81,461,786,199,402
Poreč,789,599,208,155,455,0,220,877,56,118,32,402,331,374,33,645,257,258
Plitv.jez,627,456,82,188,281,220,0,839,233,134,222,231,192,219,227,490,150,135
Praha,198,1292,722,708,1081,877,839,0,844,869,847,1071,1003,1019,792,340,933,670
Pula,700,612,222,190,468,56,233,844,0,104,35,415,344,387,89,568,270,271
Rijeka,671,602,126,121,368,118,134,869,104,0,88,315,244,287,93,539,221,184
Rovinj,703,601,210,171,456,32,222,846,35,88,0,403,333,376,59,581,258,259
Split,873,221,324,495,62,402,231,998,415,315,403,0,25,28,408,775,160,376
Šibenik,844,268,270,361,124,331,192,1001,344,244,333,25,0,61,337,721,118,338
Trogir,862,226,292,404,81,374,219,1003,387,287,376,28,43,0,387,721,118,323
Umag,848,605,210,136,461,33,227,1019,89,93,59,408,337,378,0,512,265,377
Vídeň,132,962,402,378,786,645,490,340,586,539,581,775,721,707,512,0,659,355
Zadar,776,381,249,342,199,257,150,933,270,221,258,160,73,118,256,659,0,285
Záhřeb,487,539,52,138,402,258,135,670,271,184,259,376,338,323,377,355,285,0
